,clf,metric,value,section_split,model,train_type,section_pooling,optimized_section,patient_pooling
0,RF,micro precision,0.6378162450066578,semantic,ClinicalBERT,finetuned,cls,True,mean
1,RF,micro recall,0.4506114769520226,semantic,ClinicalBERT,finetuned,cls,True,mean
2,RF,macro precision,0.3870247294178879,semantic,ClinicalBERT,finetuned,cls,True,mean
3,RF,macro recall,0.2319527905762222,semantic,ClinicalBERT,finetuned,cls,True,mean
4,MLP,micro precision,0.592436974789916,semantic,ClinicalBERT,finetuned,cls,True,mean
5,MLP,micro recall,0.5305738476011289,semantic,ClinicalBERT,finetuned,cls,True,mean
6,MLP,macro precision,0.4185709471289868,semantic,ClinicalBERT,finetuned,cls,True,mean
7,MLP,macro recall,0.3612344322426146,semantic,ClinicalBERT,finetuned,cls,True,mean
8,logistic,micro precision,0.674937965260546,semantic,ClinicalBERT,finetuned,cls,True,mean
9,logistic,micro recall,0.5117591721542804,semantic,ClinicalBERT,finetuned,cls,True,mean
10,logistic,macro precision,0.4903675463182427,semantic,ClinicalBERT,finetuned,cls,True,mean
11,logistic,macro recall,0.2770953015012642,semantic,ClinicalBERT,finetuned,cls,True,mean
0,RF,micro precision,0.6382428940568475,semantic,ClinicalBERT,finetuned,cls,True,pca
1,RF,micro recall,0.464722483537159,semantic,ClinicalBERT,finetuned,cls,True,pca
2,RF,macro precision,0.3919513527244898,semantic,ClinicalBERT,finetuned,cls,True,pca
3,RF,macro recall,0.2426791066672623,semantic,ClinicalBERT,finetuned,cls,True,pca
4,MLP,micro precision,0.6043243243243244,semantic,ClinicalBERT,finetuned,cls,True,pca
5,MLP,micro recall,0.5258701787394168,semantic,ClinicalBERT,finetuned,cls,True,pca
6,MLP,macro precision,0.4224690875901655,semantic,ClinicalBERT,finetuned,cls,True,pca
7,MLP,macro recall,0.3541804716348115,semantic,ClinicalBERT,finetuned,cls,True,pca
8,logistic,micro precision,0.6169977924944813,semantic,ClinicalBERT,finetuned,cls,True,pca
9,logistic,micro recall,0.5258701787394168,semantic,ClinicalBERT,finetuned,cls,True,pca
10,logistic,macro precision,0.4594185745315308,semantic,ClinicalBERT,finetuned,cls,True,pca
11,logistic,macro recall,0.3478983549195918,semantic,ClinicalBERT,finetuned,cls,True,pca
0,RF,micro precision,0.64,semantic,ClinicalBERT,finetuned,cls,False,mean
1,RF,micro recall,0.451552210724365,semantic,ClinicalBERT,finetuned,cls,False,mean
2,RF,macro precision,0.2992505588604654,semantic,ClinicalBERT,finetuned,cls,False,mean
